,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,rms,centroid,bandwidth,contrast,flatness,rolloff,tonnetz,zero_crossing_rate,poly_features,mcffs_1,mcffs_2,mcffs_3,mcffs_4,mcffs_5,mcffs_6,mcffs_7,mcffs_8,mcffs_9,mcffs_10,mcffs_11,mcffs_12,mcffs_13,mcffs_14,mcffs_15,mcffs_16,mcffs_17,mcffs_18,mcffs_19,mcffs_20,mcffs_21,mcffs_22,mcffs_23,mcffs_24,mcffs_25,mcffs_26,mcffs_27,mcffs_28,mcffs_29,mcffs_30,mcffs_31,mcffs_32,mcffs_33,mcffs_34,mcffs_35,mcffs_36,mcffs_37,mcffs_38,mcffs_39,mcffs_40,Class
0,0.2985571,0.48953304,0.26588038,2.171478,0.04368199,1366.6533189936233,1776.8330992127294,22.002282238659948,0.0036936007,2214.9566370412845,-0.006966354913624657,0.06199827981651376,0.3739095710713006,-435.79456,57.86791,-3.1872954,-19.904032,-20.641861,-22.496645,-19.619402,-11.440507,-9.8861065,0.43746158,3.610708,1.3495115,1.5682597,3.324896,5.32595,1.6191694,-3.5303676,-3.6765378,-6.373242,-8.641375,-8.345167,-4.6818123,-2.0709703,2.4145408,1.8110496,-0.10843944,-3.1374378,-3.4383008,-4.174518,-3.966399,-3.1244624,0.5393037,-0.632341,1.0686826,1.1267066,2.1163018,1.3684055,0.7967496,0.20303582,-0.73811346,3
1,0.24932162,0.4277299,0.25268784,5.639101,0.089813694,1248.0921412941468,1523.8252535913914,22.384927969222556,0.00197621,1827.50244140625,-0.020414226575920947,0.05993071056547619,0.6467104068638578,-383.38492,79.30943,-16.650095,-37.682156,-32.829056,-30.460405,-25.360691,-12.941867,-12.550008,0.53855884,4.77304,1.7618582,2.577142,7.6405053,14.119831,6.257656,-6.3376427,-11.476619,-11.021303,-9.991949,-5.6022334,-2.4129093,-2.0174496,2.2857654,4.074516,1.6988289,-4.0377393,-5.0378733,-5.4255314,-4.121934,-3.1214175,-0.1823917,0.17104344,2.0769594,-0.44497907,1.0410424,1.3768393,1.4499795,0.84892416,0.28346485,3
2,0.29258677,0.4935394,0.2641341,3.3808124,0.073360465,1198.050617081745,1489.8214399537137,22.826543955245153,0.0012856943,1733.4228515625,-0.02611680564820306,0.0528076171875,0.6270065965290506,-389.08447,100.16446,-14.591199,-39.99621,-29.902935,-34.278637,-33.91194,-12.414068,-10.048151,1.0634167,-3.677195,-5.794735,-2.8231587,6.4975333,14.958369,7.644436,-5.3926787,-7.830995,-9.019958,-14.791491,-10.206596,-3.5686607,-0.20362613,2.383333,0.49476203,-7.2582765,-9.001213,-3.5103824,-4.495496,-5.765299,-4.5947065,-0.75359476,-2.0395885,1.5405031,0.59807265,1.6115265,0.91024363,1.8819901,0.6949349,0.006686288,3
3,0.46622577,0.6324817,0.27867964,1.1273143,0.073104024,2340.514287224552,2016.318796238376,19.949569868703442,0.02642245,4432.977047958815,0.004418780648116208,0.1537973040101156,1.3252691739308988,-103.22346,97.88686,-51.579346,13.494535,-17.725412,13.622962,-13.120111,-11.836161,6.0956564,7.4771004,-3.3830986,3.178083,-8.443566,8.934919,-3.7602699,8.89962,-4.288481,1.8971732,-1.0865619,2.8579206,-4.0618043,3.8279939,2.0353425,2.1162117,2.6971984,3.7976184,-0.831806,4.817311,-1.2045159,4.97363,-0.4868985,6.2126837,0.75139004,3.2905345,-0.10217237,3.842249,-0.26567852,3.7157085,-1.5555998,2.1810198,5
4,0.4630874,0.58657926,0.2772736,1.034284,0.06986471,2444.6390502615122,2157.429623356608,20.04506889398518,0.032549743,4695.109566925578,0.00881795187366747,0.15362513547687862,1.2957839027097606,-98.08873,92.56464,-43.509945,12.335747,-18.055712,12.851774,-12.6958885,-8.166329,3.8616066,8.357374,-7.687668,6.4506598,-8.207959,8.20875,-4.629162,9.189841,-4.7575526,1.3274939,-2.958324,0.32907316,-1.6184983,2.4362926,3.4778962,0.4607625,2.7142732,3.4161773,-0.023521423,5.3512874,-0.2809319,6.9507766,0.9793571,8.288436,1.0389569,4.0590835,1.5555182,3.9687762,-0.5339833,3.5020194,-0.45190284,3.2765062,5
5,0.5134003,0.62348795,0.27902177,0.95538384,0.06773553,2324.518226758393,2118.4576218375764,19.7344895393133,0.029876158,4524.275339821171,0.005608374375266048,0.145795700867052,1.3306710220546834,-96.65817,101.0232,-44.57837,8.8564415,-17.03024,15.279331,-7.8656287,-8.458281,2.5199845,6.1487665,-6.18586,8.9079895,-9.252802,8.532496,-6.0980697,10.700766,-9.016704,2.4062347,-2.696653,-0.7430372,-1.2518358,2.3181381,1.7391037,0.21814506,1.2576603,2.5162058,0.10323549,5.9312935,0.07128033,5.7912674,0.50621194,5.51417,0.849396,3.167935,1.4382294,2.6888235,-0.56597114,3.045293,-0.9166124,3.106947,5
6,0.20938149,0.3316847,0.20880547,1.1345801,0.07119921,1507.8536012007983,1452.570731905152,24.290371010890688,0.0015759442,2636.5750826322114,0.03212770668340488,0.0962665264423077,0.8186012487195379,-203.39543,145.95384,-53.890644,21.861393,2.6976154,-11.006638,-6.1361966,0.40193257,-19.093824,3.9217758,-11.206899,-7.567624,-3.7447627,4.719724,-0.39133608,5.7960763,-0.37766457,4.0482693,3.735629,-8.027305,-21.359972,-15.626434,-8.96867,6.367011,-0.26040012,-6.7396703,2.5187633,16.648628,1.6495783,-17.27397,-19.463844,12.103003,19.03036,6.5415297,-6.1344767,-0.82798165,-13.017924,-12.449153,4.3910336,16.993174,1
7,0.23305331,0.34783766,0.20749249,1.7825906,0.08694508,1456.153759915233,1297.8071041668786,24.51878197873404,0.0008472188,2561.553955078125,0.046962865764722736,0.0940890842013889,0.9913581919294473,-203.46016,154.6672,-64.191795,17.901117,-3.9684088,-17.290249,-5.6795955,3.8885698,-24.18214,-1.737794,-6.931459,-11.456615,1.6673784,10.727638,3.8060946,8.994157,-1.2797567,7.353647,9.20226,-3.893088,-19.300524,-14.543345,-11.448601,0.4038344,-3.7555068,-9.865323,-0.29119396,16.584156,3.18168,-19.791916,-19.574087,15.897485,21.05013,3.469441,-4.3840365,2.6658013,-12.688662,-10.147964,10.492183,21.274315,1
8,0.36517057,0.5298925,0.26673627,2.3590753,0.08595611,1151.4706334168861,1750.272915696718,20.554438528120286,0.0015639326,1692.8173828125,0.03152840574120419,0.039718191964285714,0.9350815244607121,-244.40454,157.05354,20.491394,-11.004517,-15.190018,30.140018,-20.49235,-6.855908,5.9148736,-9.726743,0.27125776,1.4873981,0.25086322,-2.2962456,1.5356982,8.839617,21.382168,14.420049,4.8016744,8.745613,5.5770044,0.55364347,-2.4496017,1.1387697,-0.75239277,-5.7123594,-0.42205977,5.129303,-4.525515,-0.92854863,0.27554378,6.249326,-0.42693007,2.3602974,1.8642851,0.15225244,-3.2697334,0.41545552,-4.153625,0.27861303,3
9,0.3725954,0.5228598,0.2768194,2.7191508,0.08709131,1683.6989610201667,1675.2516349494774,22.235489835158617,0.004017747,2874.6826171875,-0.003880198037385257,0.0923648756377551,1.1432271070518505,-254.13522,137.14703,-68.625595,-63.89936,2.3515978,-22.007948,-2.870134,7.0914736,12.356176,-14.88785,-14.738173,10.691558,-5.655331,7.115698,-3.8339531,7.5025716,5.360719,5.0947413,-2.3852909,2.589457,-0.744573,1.6461442,3.5971615,1.260552,8.30191,1.3000866,6.5338383,-0.4827309,0.8944433,4.11838,2.5075545,4.9024086,-0.5999844,0.84592533,1.4990927,5.5819974,-1.759111,5.836811,-4.027923,6.5796413,3
