,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,rms,centroid,bandwidth,contrast,flatness,rolloff,tonnetz,zero_crossing_rate,poly_features,mcffs_1,mcffs_2,mcffs_3,mcffs_4,mcffs_5,mcffs_6,mcffs_7,mcffs_8,mcffs_9,mcffs_10,mcffs_11,mcffs_12,mcffs_13,mcffs_14,mcffs_15,mcffs_16,mcffs_17,mcffs_18,mcffs_19,mcffs_20,mcffs_21,mcffs_22,mcffs_23,mcffs_24,mcffs_25,mcffs_26,mcffs_27,mcffs_28,mcffs_29,mcffs_30,mcffs_31,mcffs_32,mcffs_33,mcffs_34,mcffs_35,mcffs_36,mcffs_37,mcffs_38,mcffs_39,mcffs_40,Class
0,0.45884174,0.65391946,0.2832518,0.050470736,0.013894318,2284.820710944856,2202.1026137286785,19.102445968589084,0.034939017,4110.913450326492,-0.006934109560782387,0.1342081098414179,0.22435639792436798,-283.18597,100.11285,-41.65427,-2.3452427,-9.652526,-9.962849,3.1108084,-4.917022,2.5185301,6.0656834,1.3500919,11.829987,-4.160141,4.4363904,-3.4682512,-1.24109,-3.2208552,-2.0954833,0.96886694,3.6188068,-1.0828096,5.964998,-2.3243291,0.56128967,-5.0076027,2.88755,-1.627094,0.7359023,-0.5926127,1.2603849,-1.9337573,0.4877809,-1.6787266,1.4105352,-1.7127784,3.8506255,-1.3324513,2.7010107,0.37921676,1.4015601,3
1,0.23084307,0.49027395,0.26404303,0.012907599,0.006868937,2595.194674445355,2420.471017250651,21.110439975719896,0.023918772,5184.8965859826585,0.014241664412319343,0.12234126625722544,0.08156695037462473,-370.40765,79.70541,-28.791332,2.9916637,-12.661471,19.03466,-2.4778764,-5.7871084,15.3021965,7.8345423,-1.1105368,-0.5766265,-10.512467,6.3072624,-0.13046822,14.833034,-4.342223,9.090214,1.6071546,-4.76718,-9.139425,4.180656,0.93708825,4.600391,4.7779245,5.88169,-4.4232764,0.6968936,-1.8677593,0.5093404,5.178742,5.1716685,-1.5454708,-0.7031463,-2.9908726,-3.47337,-6.1754375,-0.59492725,0.9936148,3.857164,9
2,0.40205503,0.6178015,0.27709618,0.004098392,0.0046105795,3005.4337450263333,2565.8504034475386,19.770565340553826,0.071224876,5829.087873690391,0.004647812558063651,0.18209503703034682,0.07997931834142731,-356.60202,68.618355,-27.192524,6.4699636,-6.7829766,24.89929,-4.27379,-7.711089,11.586112,5.060496,1.977648,7.501475,-7.1254334,5.999635,-3.055125,12.890625,-6.3827505,6.717247,1.6258452,1.9503167,-5.5074496,1.3287667,-1.3710295,-0.13679123,-0.22823967,4.1651335,-0.019306228,3.89471,2.5955915,3.2405844,-0.40061352,2.4682136,1.508064,2.109933,-1.9111137,-2.4967473,-3.5615997,1.2642226,-2.1862733,0.8162866,9
3,0.24829319,0.4841395,0.2669627,0.020076854,0.009531316,2969.865529807797,2626.9902358086406,20.98122155269796,0.040963873,5915.158451499277,0.018980083882101,0.14260352691473988,0.132088014208615,-310.93787,68.584885,-24.217497,-1.5189908,-9.406698,24.414661,-0.8120753,0.30929115,13.828637,1.9462314,-0.43626297,0.9533679,-8.894662,11.362123,-0.27022445,16.07662,-4.8684773,9.624258,-5.164774,-8.891428,-4.6650553,6.83273,1.1011199,2.7786055,2.2908576,0.189794,-7.090607,0.07024639,-0.6258416,6.566467,8.381699,2.9161327,-3.6320329,-2.105595,-4.52278,-2.4643817,-2.0882006,3.7961059,3.7836037,2.0568779,9
4,0.553183,0.54646367,0.27168372,0.012855571,0.0082252575,2419.9978305272934,2173.4674848802224,19.65033070249831,0.036738858,4707.805443912573,-0.012654865509040826,0.15433638908959538,0.16378535017581983,-297.312,94.1341,-43.570316,14.292802,-10.799941,16.974773,-4.6136303,-2.8631928,16.778872,1.2237468,-2.337552,9.525873,-3.8132348,6.41842,-3.162071,11.80994,-3.5065184,3.9570363,0.19973685,4.085241,-2.3144217,4.309297,-2.3529072,-0.083535165,-1.332064,5.790432,-0.35240522,5.423827,1.5096264,3.096156,-0.22697034,-1.1449335,-2.7087834,0.27262425,0.26417163,-0.14385624,-4.6762447,-0.27395305,-3.9811194,-0.6423928,9
5,0.5160306,0.5516594,0.2746773,0.007662127,0.0065670535,2626.640330365376,2232.594310066903,19.79334606491181,0.047286697,4895.194098852962,-0.0028559097229918563,0.17525627709537572,0.13256264820550204,-314.90332,83.94617,-44.18324,14.937306,-10.248902,16.340107,-5.8656287,-4.6851892,19.709415,-1.0775783,-8.202251,8.80161,-4.7543178,8.373653,-3.876757,11.502763,-5.992326,4.9338994,-0.06814593,3.252772,-3.2356389,3.7185,-2.5007339,0.6838232,-0.45568654,5.35096,0.92800504,5.712773,3.8756323,4.4897866,-0.33745265,-0.31370077,-2.9289145,1.0068976,0.5270478,-1.091817,-3.7378664,-0.42215002,-4.7519865,-0.49765748,9
6,0.40630963,0.614513,0.27652943,0.012583784,0.006943379,2544.5171934340306,2356.986118675158,20.253433346364687,0.0361713,5047.0467451679915,0.0021158863280832225,0.14065322434971098,0.10113900852367035,-344.60855,84.099556,-37.316574,-0.6918177,-9.668692,20.876825,0.46773186,0.17584528,13.240187,-1.0046511,-5.6848803,0.91052085,-8.013707,10.013735,1.8856502,14.4584675,-5.4197774,5.6180377,-2.4383779,-1.265888,-3.1582353,5.340326,-0.39299956,1.1928957,-0.35476547,1.7196258,-3.2406263,3.3255572,1.7761248,6.6892633,3.9251494,0.3692236,-5.1172323,-3.303756,-3.4296987,-2.0845163,-4.6930337,1.36644,0.22025648,-0.24607368,9
7,0.3871803,0.50810343,0.26278457,0.35314283,0.02623392,1671.681714566318,1799.5542775725637,23.066911706874208,0.007274494,2412.668744255515,-0.021972873086869567,0.09145220588235294,0.3216429522237007,-322.71606,114.38094,-63.302956,-59.56657,-30.665142,-19.517704,-40.51,-28.380283,-17.125002,-15.491681,-20.064917,-15.44497,-15.377027,-3.617236,0.6572768,5.064618,2.8021147,2.4776957,-5.325115,-4.7074003,-5.1905756,0.81631094,-1.8302794,-3.276615,-4.7225976,-0.039800156,-1.280082,1.5735533,0.5081179,7.6987844,3.322505,2.864247,-0.77630067,1.5024955,-2.0720577,0.19413006,-0.12494605,-0.54427093,-1.5924945,0.34307852,3
8,0.45192328,0.57925314,0.26464102,0.42046496,0.024903204,1699.5844148926058,1942.5485021955712,22.530979952484177,0.008954823,2690.7168702583094,-0.011988788772243885,0.08376140263728324,0.2867492603366613,-334.87268,115.38493,-48.778214,-55.228054,-31.215155,-22.19688,-39.062233,-26.75314,-17.35698,-14.668974,-16.872648,-14.525075,-13.710256,-3.1388202,0.4015321,3.795955,0.9427183,0.5327105,-2.8038096,-3.138175,-3.9646928,1.2500745,-0.8859269,-1.599416,-2.7179723,0.30871242,-1.5500531,0.79615015,1.7220823,5.76182,1.4714895,3.4722626,0.95744634,2.1194375,-0.4967997,0.2560284,1.3737025,0.6731061,-1.9017024,1.0753236,3
9,0.5286054,0.64394265,0.27584225,0.16890268,0.014258397,1891.400616489454,2130.122854809811,21.83613167011032,0.015478821,3220.1473875541906,-0.008744991248718362,0.09522613348988439,0.18087393701178164,-348.15125,108.027504,-45.23733,-48.695503,-25.086485,-21.957266,-32.959118,-23.653519,-19.81454,-15.224581,-17.03273,-12.701152,-11.652126,-3.302419,-2.7435095,-0.007226845,-2.7186556,-0.8659297,-4.349181,-2.6965466,-3.036159,1.5645064,-1.6671816,-1.6374688,-2.5644746,0.6245294,-1.4997377,1.157446,0.035927746,4.8948464,0.95283824,1.195965,-0.67408437,1.7483182,-0.21607791,0.6336959,-0.6195024,0.77244896,-1.5252428,0.867987,3
