,chroma_stft,rms,centroid,contrast,flatness,zero_crossing_rate,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,mfccs_13,mfccs_14,mfccs_15,mfccs_16,mfccs_17,mfccs_18,mfccs_19,mfccs_20,mfccs_21,mfccs_22,mfccs_23,mfccs_24,mfccs_25,mfccs_26,mfccs_27,mfccs_28,mfccs_29,mfccs_30,mfccs_31,mfccs_32,mfccs_33,mfccs_34,mfccs_35,mfccs_36,mfccs_37,mfccs_38,mfccs_39,mfccs_40,Class
0,0.39737338,0.0470476,1379.2222796297146,21.84127385520224,0.0036532907,0.05845545068641619,-219.21852,144.59772,-3.2722404,10.478356,12.348386,7.7171273,-7.9704065,5.313339,8.448252,-0.82474,-5.17249,2.1384444,-3.32441,-3.1235104,-3.1845393,-3.6548116,-8.505093,-2.5962136,-2.8492036,-0.6604625,-5.5945706,-1.9601701,-6.738111,-1.8865321,-1.4353638,1.111928,-2.288206,3.7642534,2.2195597,1.6244926,-6.846131,-2.0557873,-2.0610569,2.5850482,-4.402662,-1.4752337,-5.925627,-3.3437397,-3.6235485,1.4111859,9
1,0.42229694,0.04595069,1372.6657919405452,21.6334968485808,0.0039271032,0.055122154985549135,-220.89938,144.97063,-4.152257,9.872785,11.96584,9.190612,-7.902569,8.014342,6.9387693,-0.5332646,-6.4540887,1.5467528,-3.691481,-3.322247,-3.253965,-5.782483,-8.427455,0.72411084,-3.3997774,-2.9507005,-5.02562,-2.143329,-6.5482078,-1.0574962,-2.6813257,-1.1087629,-1.3607906,3.4331584,1.323919,2.0414388,-5.3908854,-2.525715,-2.4125962,2.7432415,-3.4125755,-0.46623054,-5.550427,-2.1721551,-3.375768,-0.6385834,9
2,0.40919766,0.044938948,1480.377737261861,22.08413045964869,0.0045065675,0.06535065932080925,-219.28653,138.1058,-1.6331979,10.546871,9.442605,11.844498,-8.5117,9.613272,5.437058,-4.792039,-8.011155,0.41731155,-2.8878338,-0.4507656,-0.53248745,-1.426425,-6.9397283,-3.185341,-2.4553404,-2.2678857,-3.4785523,-2.8703299,-7.905277,0.2579244,-1.788709,1.71105,-2.4003363,3.704551,1.617296,0.37530977,-7.685417,-0.9864945,-1.0906503,1.792411,-2.8441777,1.4918591,-6.486588,-0.9283401,-0.40995735,-0.026110081,9
3,0.39859578,0.047667306,1374.6699558861187,22.205454114226935,0.0035015289,0.06043115516618497,-224.46338,145.60695,-1.6756835,10.994343,10.010615,12.727025,-5.944498,6.288854,1.8491945,-5.4802055,-6.5703506,-0.8426356,-4.810992,-0.7339602,-0.6964599,-1.171352,-4.790719,-3.1039112,-2.7455492,-1.8191282,-5.7020807,-2.8320804,-6.6770034,-1.4033511,-2.2813933,2.528891,-2.727182,1.8646195,-0.5801129,0.4284509,-6.550477,0.78876984,-1.7968771,-0.21213034,-4.0064163,1.8073921,-4.6500244,0.18599549,-1.2348417,-1.1934569,9
4,0.42584118,0.040159047,1343.352315768454,20.572761823413863,0.0044332054,0.05311822615606936,-234.90146,149.48329,-1.8016354,10.838568,8.305273,11.17665,-9.709814,0.7573244,5.710452,-0.9927171,-3.4213412,2.7675462,-1.4884696,-1.8376527,-1.7532238,-3.0844853,-2.9923112,2.3485754,-2.1480896,0.07165686,-4.00487,-0.74878466,-4.949568,-0.12989499,-2.4353983,0.27118686,-4.772876,-0.3787966,-1.751601,2.7049599,-6.6052146,-0.15167545,-1.7309064,1.6244335,-3.980624,0.597981,-3.5013664,2.683205,-0.6059094,-0.80428475,9
5,0.4292748,0.04019517,1430.7313227006523,21.089313117671693,0.004805602,0.05990900469653179,-228.88254,142.99632,-1.2449654,11.73581,8.639889,10.858923,-11.524764,3.8133104,6.3657374,1.2407923,-1.3508708,2.9107225,-1.8584422,-5.0672455,-1.5683643,-2.2788587,-5.7048736,-0.021571958,-1.867557,-0.24805711,-3.8751566,-0.06501338,-5.251075,-1.0829513,-3.2175844,2.617382,-1.8656447,0.7845678,0.0035581202,4.401441,-7.955788,-2.7389266,-1.7406374,1.345358,-4.686734,0.13666283,-6.199594,1.9425949,-0.7292562,-1.8319819,9
6,0.3252861,0.044399522,1656.1889702274675,20.723298715402372,0.00499374,0.10050126445086706,-209.71161,131.95529,-40.90223,-10.57007,-21.832748,3.9727325,13.117165,20.733532,-5.3368344,-8.602994,-5.756268,-0.758475,-15.727954,-9.566527,-4.7465825,-2.594549,-8.184844,0.105837785,-10.567677,-5.214997,-3.5971766,-0.039658386,-4.9648786,-2.213923,-4.171747,4.686575,-1.825106,-1.7301092,-5.115502,-1.4420041,-4.216238,0.20026879,-4.96812,0.31372926,-1.6258842,0.8493491,-2.1785917,1.0905857,-5.258102,1.2747461,8
7,0.32957715,0.045349635,1697.1458379933267,19.66607860891922,0.005718391,0.102855175216763,-206.30911,129.2221,-44.105125,-12.722894,-18.42229,8.288069,12.223254,17.44723,-7.421453,-8.850197,-4.512419,0.5901986,-13.113939,-7.7566032,-3.7746377,-0.20938677,-6.0467305,-1.8842005,-11.016915,-3.2257369,-1.5342575,1.9402723,-2.2700064,-0.15756887,-1.7121807,5.1695185,-2.1059103,-2.19715,-5.5262594,-0.21153793,-2.4973676,2.4219778,-3.0610888,1.5322077,-1.8151404,0.35648468,-2.6852005,-0.32034868,-5.3887386,1.7844942,8
8,0.3536701,0.0384352,1736.9235492488347,19.159188307766236,0.0074908705,0.10309790462427745,-211.21532,128.72626,-36.68196,-14.918299,-16.746847,11.7726965,10.444039,17.831047,-6.067625,-7.3411555,-4.520802,0.10748156,-10.780492,-5.421351,-3.4636533,0.79996294,-4.756457,-2.7627444,-9.824657,-1.0797979,-0.66962826,3.1057937,-0.7851895,1.3595401,-0.7333814,4.3729677,-1.9949955,-1.1493411,-3.8953667,1.3270146,-0.8189727,2.5480773,-3.2579722,1.497477,-1.6804515,0.44871482,-2.8498042,1.6308804,-3.4608486,2.206552,8
9,0.3730411,0.028919386,1925.9205515784433,18.503261745539998,0.013983052,0.11002133760838151,-217.49858,118.60707,-29.332003,-15.343391,-12.311968,17.039042,11.790287,16.502584,-8.779997,-6.0069346,-0.9268358,2.5654798,-9.206051,-5.289314,-3.4897566,0.91182804,-3.688981,-2.23869,-9.113858,-0.5505743,0.7672678,5.535638,-1.1338874,1.314329,-0.22667769,4.312914,-1.7590563,-0.67726684,-3.1971104,2.9566343,0.48873737,1.9702237,-3.2061112,0.59467167,-1.9261882,0.99504775,-3.0320141,1.316801,-2.6516416,3.354078,8
